ID	Description	setSize	enrichmentScore	NES	pvalue	p.adjust	qvalue	rank	leading_edge	core_enrichment
GO:0001678	GO:0001678	intracellular glucose homeostasis	108	0.149427659240207	0.741670961777936	0.89242053789731	0.969250575462379	0.862094635792579	1296	tags=10%, list=8%, signal=9%	NPTX1/SLC29A1/CLTRN/UCP2/HKDC1/SLC12A6/HK3/ACE/ABCA12/ABCC8/SLC9B2
GO:0008584	GO:0008584	male gonad development	115	0.144790637655969	0.730789933814092	0.895808383233533	0.969250575462379	0.862094635792579	986	tags=8%, list=6%, signal=7%	LHX9/KIT/WNT2B/ESR1/ADGRG1/SFRP2/SRD5A1/ACE/MSH2
GO:1905477	GO:1905477	positive regulation of protein localization to membrane	84	0.15387098219493	0.729225349656134	0.894339622641509	0.969250575462379	0.862094635792579	3297	tags=20%, list=21%, signal=16%	AKAP5/CEMIP/CLN3/ITGAM/EFCAB7/PGRMC1/PPP1R9B/CNPY4/MIEF2/FYN/MFF/EPHB2/RAB11FIP2/CDK5R1/PRKN/ITGA3/PDPK1
GO:2000630	GO:2000630	positive regulation of miRNA metabolic process	45	-0.147211314896312	-0.719342719833261	0.895752895752896	0.969250575462379	0.862094635792579	4081	tags=27%, list=27%, signal=20%	HIF1A-AS2/GNL3/MYC/DNM3OS/MYCN/APLN/MYOCD/TEAD1/AR/ZC3H12A/FOSL1/BMP2
GO:0061157	GO:0061157	mRNA destabilization	76	0.153882761519056	0.7172260741961	0.89440203562341	0.969250575462379	0.862094635792579	7834	tags=58%, list=51%, signal=29%	PLEKHN1/EXOSC2/METTL3/EXOSC5/NOCT/NT5C3B/PAIP1/PARN/RIDA/LSM1/TOB1/CNOT11/DHX9/CNOT7/CNOT8/POLR2G/CELF1/TARDBP/EXOSC3/CSDE1/GIGYF2/ROCK1/NANOS1/PNPT1/METTL16/EIF4ENIF1/DCP1B/HNRNPU/HNRNPR/DIS3/CAPRIN1/YBX1/CNOT6/CNOT3/EXOSC9/TENT4A/UPF1/PUM1/FXR1/FXR2/CNOT2/CNOT6L/PABPC1/TUT4
GO:0014743	GO:0014743	regulation of muscle hypertrophy	44	-0.14172460403639	-0.695331358116398	0.893939393939394	0.969250575462379	0.862094635792579	5184	tags=48%, list=34%, signal=32%	MSTN/FOXO1/TNFRSF1B/PDE5A/ATP2B4/LMNA/PRKCA/MTPN/TOMM70/CTDP1/IGFBP5/CAV3/GATA5/RGS4/TRPC3/ADCY10/MLIP/ADRA1A/NR4A3/TRIM63/IGF1
GO:0032309	GO:0032309	icosanoid secretion	32	0.175624525784503	0.674428693792358	0.892441860465116	0.969250575462379	0.862094635792579	3309	tags=25%, list=22%, signal=20%	PLA2G10/ACE/TNFSF11/MAP2K6/NMB/ABCC4/PLA2G3/P2RX7
GO:0042149	GO:0042149	cellular response to glucose starvation	42	0.163706096464596	0.673858839790081	0.892265193370166	0.969250575462379	0.862094635792579	2789	tags=19%, list=18%, signal=16%	NUAK2/SESN2/ITFG2/SZT2/PLIN3/SUV39H1/PICK1/BECN1
GO:0038179	GO:0038179	neurotrophin signaling pathway	34	0.169683515368184	0.671541549285611	0.894067796610169	0.969250575462379	0.862094635792579	2691	tags=21%, list=17%, signal=17%	NDN/AGT/ZFYVE27/DOK5/SRC/NTF3/SPRY1
GO:0097479	GO:0097479	synaptic vesicle localization	46	0.156582452090939	0.663619822505285	0.895861148197597	0.969250575462379	0.862094635792579	3322	tags=22%, list=22%, signal=17%	RAB3A/DTNBP1/AP3M2/SNAPIN/BLOC1S5/AP3M1/PRKN/TOR1A/MAP2/PINK1
GO:0010763	GO:0010763	positive regulation of fibroblast migration	12	-0.199444637241386	-0.660802168442746	0.895953757225434	0.969250575462379	0.862094635792579	251	tags=100%, list=2%, signal=98%	AKAP12/BAG4/ACTA2/ITGB1/TGFB1/ITGB3/PTK2/AKT1/AQP1/PRKCE/DDR2
GO:0030050	GO:0030050	vesicle transport along actin filament	13	0.213895051166145	0.658366349934393	0.896024464831804	0.969250575462379	0.862094635792579	119	tags=8%, list=1%, signal=8%	MYO1F
GO:0099515	GO:0099515	actin filament-based transport	15	0.204860508730801	0.65654001390534	0.893712574850299	0.969250575462379	0.862094635792579	119	tags=7%, list=1%, signal=7%	MYO1F
GO:0031365	GO:0031365	N-terminal protein amino acid modification	20	0.190765603878739	0.652861435025311	0.894977168949772	0.969250575462379	0.862094635792579	5541	tags=45%, list=36%, signal=29%	NAA80/NAA10/NAA60/NAA35/NMT2/METAP1D/PPM1B/PPM1A/METAP1
GO:0048843	GO:0048843	negative regulation of axon extension involved in axon guidance	25	0.17751809359657	0.651366439010613	0.892128279883382	0.969250575462379	0.862094635792579	5617	tags=40%, list=36%, signal=25%	NRP1/SEMA4G/SEMA3C/WNT3/SEMA4F/PLXNA3/SEMA4D/SEMA3A/SEMA5B/HDAC6
GO:0002070	GO:0002070	epithelial cell maturation	19	0.192114001668542	0.650950635059296	0.892749244712991	0.969250575462379	0.862094635792579	1864	tags=16%, list=12%, signal=14%	PGR/GDF11/GPAT4
GO:2001169	GO:2001169	regulation of ATP biosynthetic process	12	0.214552770286015	0.644539452501396	0.893292682926829	0.969250575462379	0.862094635792579	6317	tags=67%, list=41%, signal=39%	DNAJC30/PID1/PINK1/PARP1/ENO1/FLCN/VCP/PPARA
GO:0009651	GO:0009651	response to salt stress	19	0.190214711099824	0.644515162417369	0.895770392749245	0.969250575462379	0.862094635792579	7676	tags=63%, list=50%, signal=32%	SLC12A6/EFHD1/FBP1/SLC25A23/XRCC6/TRPV4/TP53/PTK2B/AKR1B1/TNF/XRCC5/LETM1
GO:0000413	GO:0000413	protein peptidyl-prolyl isomerization	16	0.198422439318584	0.64075410838237	0.895927601809955	0.969250575462379	0.862094635792579	7196	tags=56%, list=47%, signal=30%	PPIH/PPID/PPWD1/PPIL3/FKBP1A/FKBP5/NKTR/PPIE/PPIG
GO:0033144	GO:0033144	negative regulation of intracellular steroid hormone receptor signaling pathway	25	0.173918701948576	0.638159205466934	0.895043731778426	0.969250575462379	0.862094635792579	5233	tags=36%, list=34%, signal=24%	CYP7B1/BRCA1/NCOR1/VPS11/HDAC1/CALR/DAB2/PIAS2/HEYL
GO:1901998	GO:1901998	toxin transport	10	0.224518721587248	0.63320666228921	0.894321766561514	0.969250575462379	0.862094635792579	2512	tags=20%, list=16%, signal=17%	SLC29A4/SLC22A3
GO:0060008	GO:0060008	Sertoli cell differentiation	17	0.194919624750449	0.637052417821481	0.896341463414634	0.969406191550809	0.862233047673339	3710	tags=35%, list=24%, signal=27%	DMRT1/SOX8/FLNA/ATRX/SDC1/HSD17B4
GO:0097468	GO:0097468	programmed cell death in response to reactive oxygen species	13	-0.188607498939811	-0.647948673529113	0.896551724137931	0.969446331295534	0.86226874975027	251	tags=31%, list=2%, signal=30%	PJVK/MET/PAWR/DDR2
GO:0006606	GO:0006606	protein import into nucleus	119	0.143193367803205	0.724406704452494	0.896758703481393	0.969471192362759	0.862290862290862	7844	tags=61%, list=51%, signal=30%	EFCAB7/APOD/IPO4/RAB23/SMO/KCNQ3/TSC2/PML/TNPO2/FERMT1/FGF9/DMAP1/NUP133/HIKESHI/FAM53A/FLNA/PKIG/KPNA5/SNUPN/HYAL2/MAVS/TXNIP/TRAF3IP2/KPNA6/NF1/SHH/SUMO1/POLA2/TARDBP/NUP88/MED1/GCKR/NUP153/RPAIN/CBLB/RANGRF/IPO9/PSEN1/IPO13/NUP188/TP53/NUP155/SIRT6/KPNA2/IPO8/SPG11/FAM53B/PHB2/EIF4ENIF1/SQSTM1/TGFB1/ZPR1/NUP54/STK4/NUP107/KPNB1/CHP1/ECT2/TPR/PPP3R1/MDFIC/NUP35/BAG3/TMCO6/IPO5/STK3/PPP3CA/NUTF2/PRKCD/SUFU/RAN/RANBP17
GO:0048488	GO:0048488	synaptic vesicle endocytosis	57	0.160578846117666	0.706537476799911	0.896921017402945	0.969471192362759	0.862290862290862	6651	tags=47%, list=43%, signal=27%	AP3M2/BIN1/DNM3/SYP/BTBD9/STON2/PRKN/TOR1A/SYT2/SNX9/GAK/SYNJ1/SYNJ2/CANX/AP2B1/VAMP4/ACTB/PPP3CC/ROCK1/ITSN2/TBC1D24/ARF6/VAMP2/OPHN1/AP3D1/AP2S1/AP2M1
GO:0003085	GO:0003085	negative regulation of systemic arterial blood pressure	17	0.194604986395719	0.636024090761664	0.897865853658537	0.97011789167004	0.862866065461118	964	tags=12%, list=6%, signal=11%	BBS4/ADORA1
GO:0045821	GO:0045821	positive regulation of glycolytic process	17	0.194235727920076	0.634817249711101	0.897865853658537	0.97011789167004	0.862866065461118	3309	tags=24%, list=22%, signal=18%	MLST8/MTOR/GPD1/P2RX7
GO:0048880	GO:0048880	sensory system development	306	0.140571947336899	0.795977386675332	0.898197242841994	0.970288705898577	0.863017995244671	2826	tags=18%, list=18%, signal=15%	PITX2/OSR2/SLC6A3/HSF4/TMOD1/WNT2B/SLC1A1/COL8A2/SALL2/DTNBP1/IFT140/ACHE/MYOM2/NOTCH2/ITGAM/PYGO2/MDM1/BBS4/STRA6/CABP4/SOX1/RPGRIP1L/STAU2/ATP8A2/PXDN/ZDHHC16/NRP1/ROM1/GDF11/SDK1/B9D1/NRL/CDK20/TWSG1/PDE6B/GATA3/RCN1/TTC8/BAK1/LARGE1/EPHB2/SMG9/VHL/NF2/BCL11B/DLL4/BCAR3/MFN2/FGF9/SPRY1/PBX1/MAX/BFSP1/EFEMP1
GO:0002042	GO:0002042	cell migration involved in sprouting angiogenesis	47	0.160401280089027	0.680912795524584	0.89851150202977	0.970425601162757	0.86313975599045	3059	tags=19%, list=20%, signal=15%	HMOX1/ABL1/NRP1/FGFBP1/EFNB2/HDAC5/DLL4/CARD10/MAP2K5
GO:0075509	GO:0075509	endocytosis involved in viral entry into host cell	12	-0.197216431086088	-0.653419651271445	0.898843930635838	0.970425601162757	0.86313975599045	1261	tags=25%, list=8%, signal=23%	CLEC4M/ACE2/SIGLEC1
GO:0030859	GO:0030859	polarized epithelial cell differentiation	17	-0.174275811999634	-0.650571512706957	0.898843930635838	0.970425601162757	0.86313975599045	11029	tags=94%, list=72%, signal=27%	IFT20/ZDHHC7/MYO9A/PTK7/SH3BP1/OPHN1/DLG5/SYNE4/WNT5A/CDC42/AHI1/RAB10/TCF15/AJAP1/FAT1/LAMA1
GO:0045740	GO:0045740	positive regulation of DNA replication	31	0.173955180403395	0.661845051006694	0.899270072992701	0.970454032686405	0.863165044254027	4352	tags=29%, list=28%, signal=21%	EGF/BRPF3/BCAR3/NPM2/KAT7/DHX9/ATRX/DNA2/ATF1
GO:0097049	GO:0097049	motor neuron apoptotic process	17	0.193366688185439	0.63197698226834	0.899390243902439	0.970454032686405	0.863165044254027	2765	tags=18%, list=18%, signal=14%	SLC1A1/FAS/VPS54
GO:0044828	GO:0044828	negative regulation by host of viral genome replication	10	0.221914933714804	0.625863239805937	0.899053627760252	0.970454032686405	0.863165044254027	4510	tags=40%, list=29%, signal=28%	ZBED1/PRKN/SMC6/APOBEC3H
GO:0051290	GO:0051290	protein heterotetramerization	15	0.202920146417168	0.650321511821817	0.899700598802395	0.970601859864087	0.863296528330622	5051	tags=40%, list=33%, signal=27%	PKD2/CBR4/FARSA/RRM1/FARSB/HSD17B8
GO:0071692	GO:0071692	protein localization to extracellular region	286	0.140646877187246	0.793058874901979	0.901498929336188	0.97067675919505	0.863363147131871	4604	tags=29%, list=30%, signal=21%	ANKRD1/ABCA1/SUCNR1/RAB3A/CLTRN/FRMD4A/NR0B2/ACHE/PPARG/CAMK2G/ARL4D/OLFM2/PLEK/UCP2/SIRT3/PLCB1/RSAD2/AP1S1/TGFB3/VEGFC/ABCA12/KCNN4/COPG2/ABCC8/P3H1/SLC9B2/RHBDF2/SIRT4/RHBDD3/GOLPH3L/LLGL2/ADAM9/CAPN10/HLA-DRB1/RCN3/TVP23B/PFKM/CYB5R4/PPID/NAGPA/PICK1/TANGO6/RAB11FIP2/STXBP5/STXBP4/FAM3B/ENSA/RAPGEF4/BAD/RBM4/PRKN/MIA2/GIPR/CFTR/P2RX7/UQCC2/NR1D1/CPLX1/MYO18A/TMED2/EIPR1/NBL1/HADH/TVP23A/FOXA2/SREBF1/PTPN23/TACR2/TCF7L2/ARFIP1/TRPM4/WLS/RAB3D/RAB11FIP3/RAB8A/PFKFB2/COPG1/AP1B1/SLC8B1/F2R/PDIA4/ADCYAP1/GPER1/TARDBP
GO:1904951	GO:1904951	positive regulation of establishment of protein localization	251	0.140377610994406	0.779608666971487	0.901515151515151	0.97067675919505	0.863363147131871	6437	tags=43%, list=42%, signal=25%	ANKRD1/AKAP5/FRMD4A/NR0B2/ACHE/PPARG/CEMIP/EDEM2/CLN3/SIRT3/CEP120/PLCB1/ITGAM/TGFB3/VEGFC/EFCAB7/KCNN4/BCAP31/ABCC8/HSPA1L/SAE1/GOLPH3L/RAC2/SMO/ADAM9/MIEF2/SRC/CAPN10/HLA-DRB1/FYN/PFKM/PPID/MFF/VPS11/CDK5R1/HTRA2/RAPGEF4/BAD/DMAP1/GIPR/CFTR/CCT7/P2RX7/FLNA/PINK1/CCT8/MYO18A/HYAL2/MAVS/CAMK1/BAP1/NPEPPS/ITGB2/WRAP53/SHH/MDM2/OAZ2/PTP4A3/CIB1/PTPN23/TCF7L2/TRPM4/WLS/PFKFB2/EMD/PCNT/CCT3/GPER1/TARDBP/TSG101/MICALL2/NR1H2/BLK/YWHAE/OAZ3/PPM1A/MYH10/VPS35/IER3IP1/GPLD1/PSEN1/SEC16B/TMED10/TLR2/CEP135/STX4/TMEM30B/SYTL4/APBB1/RBP4/UBE2J2/SIRT6/DKC1/PDCD10/RIPOR1/ARF6/RPH3AL/GOLPH3/PRKACA/RACK1/VAMP2/PRKAA1/TGFB1/TMEM30A/ZPR1/ADAM8/MYO1C
GO:0090287	GO:0090287	regulation of cellular response to growth factor stimulus	255	0.13916088117406	0.776664620797473	0.904403866809882	0.97067675919505	0.863363147131871	4112	tags=25%, list=27%, signal=19%	SFRP4/FGFBP3/RGMA/NREP/SMAD6/SFRP2/CHRDL2/PPARG/NOTCH2/ABL1/AGT/TGFB3/SAP30/HTRA4/VEGFC/FGFR1/FUZ/NRP1/FGFBP1/FZD1/EID2/SCUBE3/DOK5/TWSG1/SHISA2/TET1/LRG1/GATA3/MTMR4/FAM20C/TNXB/FERMT1/FGF9/SPRY1/SMOC2/AXIN1/ENG/BRMS1L/TMPRSS6/SPRY4/SAP30L/CREB3L1/UBE2O/PBLD/ITGA3/PELO/PDPK1/TMEM53/CITED1/INTS9/DSTYK/TOB1/FGF18/LATS1/PRDM16/ADGRA2/MEN1/ACVRL1/NBL1/FSTL1/XIAP/PTP4A3/TRIM33/GPC3
GO:1903311	GO:1903311	regulation of mRNA metabolic process	208	0.139801107034564	0.762734216474838	0.9	0.97067675919505	0.863363147131871	7974	tags=58%, list=52%, signal=28%	PLEKHN1/FASTKD1/FASTKD5/AXIN2/CELF5/EXOSC2/TRAF5/METTL3/EXOSC5/IGF2BP3/NOCT/RNASEL/TTC5/NT5C3B/FASTK/MYD88/APEX1/LEO1/E2F1/PAIP1/U2AF2/PARN/RBM4/LARP1/RIDA/DHX34/LSM1/TOB1/CNOT11/DHX9/PKP3/PAF1/TRAF3IP2/CNOT7/FASTKD3/CNOT8/POLR2G/CWC22/BAG4/CELF1/CLNS1A/UPF3A/CDC73/SRPK2/PCBP4/ALKBH5/TARDBP/EXOSC3/FUS/WDR77/SMU1/C1QBP/CSDE1/THRAP3/DAZAP1/PTCD2/RBM8A/PCID2/FASTKD2/NPM1/SF3B4/GIGYF2/ROCK1/RNPS1/NRDE2/NANOS1/PNPT1/METTL16/EIF4ENIF1/IKBKE/DCP1B/SRSF12/HNRNPC/HNRNPK/SRSF6/HNRNPU/SNRNP70/DYRK1A/HNRNPR/RBM42/TBRG4/DIS3/CAPRIN1/YBX1/PRPF19/PTBP1/CIRBP/CNOT6/CNOT3/RBM25/EXOSC9/PRDX6/RBMX/KHDRBS1/TENT4A/UPF1/SLTM/TIRAP/DDX5/PUM1/SNW1/FXR1/HNRNPA0/HNRNPA1/BARD1/PUF60/PRKCD/MEIOC/SUPT6H/ANGEL2/FXR2/CNOT2/CNOT6L/PABPC1/TUT4/NSRP1/NOVA1/RBM3/NCBP2/TNKS1BP1
GO:0090068	GO:0090068	positive regulation of cell cycle process	197	0.139526727298527	0.756984354627897	0.904231625835189	0.97067675919505	0.863363147131871	4778	tags=29%, list=31%, signal=20%	OOEP/AURKA/MAD2L1/CDC6/EGF/NCAPD2/CEP120/RAD51AP1/CPSF3/SMC4/PLCB1/ANAPC7/SPAG5/SLF2/CDC20/CIT/CUL4A/NCAPG2/DMRT1/CDC25B/ZNF16/CCNB1/NCAPH/WNK1/CDK4/PBX1/CUL4B/BECN1/MTA3/STXBP4/NSFL1C/PAGR1/XRCC3/NPM2/DDRGK1/TFDP1/ATRX/AIF1/MBLAC1/PAF1/CSPP1/KIF3B/RHNO1/MDM2/POLDIP2/RAD18/SMC6/CDC73/RAD51C/FAM83D/CDC16/RRM1/RACGAP1/NSMCE2/MED1/RAD21/NUMA1
GO:0015908	GO:0015908	fatty acid transport	82	0.15278595168214	0.721957014861484	0.901515151515151	0.97067675919505	0.863363147131871	1801	tags=12%, list=12%, signal=11%	CRABP2/PLA2G10/ABCD1/FABP3/PPARG/ABCD4/ACE/FABP7/ACSL5/TNFSF11
GO:0032732	GO:0032732	positive regulation of interleukin-1 production	57	0.158943843159165	0.699343559962243	0.902275769745649	0.97067675919505	0.863363147131871	2395	tags=18%, list=16%, signal=15%	HAVCR2/AZU1/PANX2/NLRP1/CLEC7A/NLRP2/LPL/CASP8/LGALS9/MYD88
GO:0035872	GO:0035872	nucleotide-binding domain, leucine rich repeat containing receptor signaling pathway	25	-0.162045498068503	-0.687392842218878	0.901898734177215	0.97067675919505	0.863363147131871	4923	tags=48%, list=32%, signal=33%	NOD1/RELA/NOD2/SLC15A2/CYLD/NFKBIA/RIPK2/IRGM/BIRC3/TNFAIP3/LACC1/OTULIN
GO:0046824	GO:0046824	positive regulation of nucleocytoplasmic transport	48	0.159238632094317	0.680269584107724	0.904183535762483	0.97067675919505	0.863363147131871	7951	tags=65%, list=52%, signal=31%	EFCAB7/SMO/DMAP1/FLNA/DHX9/HYAL2/MAVS/CAMK1/SHH/MDM2/EMD/TARDBP/YWHAE/PPM1A/PSEN1/SIRT6/NRDE2/PRKACA/TGFB1/ZPR1/ECT2/KHDRBS1/ANP32B/TPR/BAG3/IPO5/SFN/PRKCD/CPSF6/RAN/NCBP2
GO:0015800	GO:0015800	acidic amino acid transport	50	0.156614110579956	0.675803103821619	0.904183535762483	0.97067675919505	0.863363147131871	5757	tags=40%, list=37%, signal=25%	SLC1A1/DTNBP1/AVP/ADORA1/ABCC8/SLC1A3/VPS54/P2RX7/SLC1A4/SLC6A1/ARL6IP1/NF1/STXBP1/NTRK2/TRPV1/PSEN1/SLC12A2/RAB3GAP1/APBA1/ITGB1
GO:0034113	GO:0034113	heterotypic cell-cell adhesion	43	0.162413331830185	0.672459532815374	0.900414937759336	0.97067675919505	0.863363147131871	1058	tags=9%, list=7%, signal=9%	DSC2/CD2/CEACAM6/PTPRC
GO:0003299	GO:0003299	muscle hypertrophy in response to stress	16	-0.180818174822945	-0.654541376780238	0.902654867256637	0.97067675919505	0.863363147131871	1595	tags=19%, list=10%, signal=17%	MLIP/GATA6/TCAP
GO:0014887	GO:0014887	cardiac muscle adaptation	16	-0.180818174822945	-0.654541376780238	0.902654867256637	0.97067675919505	0.863363147131871	1595	tags=19%, list=10%, signal=17%	MLIP/GATA6/TCAP
GO:0014898	GO:0014898	cardiac muscle hypertrophy in response to stress	16	-0.180818174822945	-0.654541376780238	0.902654867256637	0.97067675919505	0.863363147131871	1595	tags=19%, list=10%, signal=17%	MLIP/GATA6/TCAP
GO:0015669	GO:0015669	gas transport	14	0.209858148722894	0.653260561675952	0.90288315629742	0.97067675919505	0.863363147131871	3261	tags=29%, list=21%, signal=23%	MB/IPCEF1/HBA2/CYGB
GO:0010421	GO:0010421	hydrogen peroxide-mediated programmed cell death	12	-0.196667128090762	-0.651599694538267	0.901734104046243	0.97067675919505	0.863363147131871	251	tags=8%, list=2%, signal=8%	DDR2
GO:1903265	GO:1903265	positive regulation of tumor necrosis factor-mediated signaling pathway	13	0.211604528975571	0.651316150662226	0.902140672782875	0.97067675919505	0.863363147131871	5373	tags=38%, list=35%, signal=25%	PRKN/HSPA1A/TRIM32/LAPTM5/HSPA1B
GO:1903578	GO:1903578	regulation of ATP metabolic process	14	0.208749771524469	0.649810330576527	0.90288315629742	0.97067675919505	0.863363147131871	6317	tags=64%, list=41%, signal=38%	DNAJC30/PID1/PINK1/PARP1/ENO1/FLCN/VCP/BEND3/PPARA
GO:1902683	GO:1902683	regulation of receptor localization to synapse	12	-0.196103354925541	-0.649731795078845	0.904624277456647	0.97067675919505	0.863363147131871	267	tags=25%, list=2%, signal=25%	TYROBP/ADAM10/GPC6
GO:0045198	GO:0045198	establishment of epithelial cell apical/basal polarity	12	-0.19572413507967	-0.64847535970944	0.904624277456647	0.97067675919505	0.863363147131871	1093	tags=17%, list=7%, signal=15%	FAT1/LAMA1
GO:0007212	GO:0007212	dopamine receptor signaling pathway	29	0.172326998640054	0.644921825055353	0.903083700440529	0.97067675919505	0.863363147131871	1952	tags=14%, list=13%, signal=12%	SLC1A1/DTNBP1/ARRB2/PALM
GO:2001044	GO:2001044	regulation of integrin-mediated signaling pathway	15	-0.179032053912699	-0.635564886813038	0.901197604790419	0.97067675919505	0.863363147131871	1375	tags=20%, list=9%, signal=18%	NID1/LOXL3/LAMA1
GO:0010470	GO:0010470	regulation of gastrulation	11	0.218183782904457	0.634793770164916	0.904468412942989	0.97067675919505	0.863363147131871	1582	tags=18%, list=10%, signal=16%	OSR1/PHLDB1
GO:0016973	GO:0016973	poly(A)+ mRNA export from nucleus	19	0.186393445604844	0.631567354453955	0.903323262839879	0.97067675919505	0.863363147131871	3045	tags=21%, list=20%, signal=17%	GLE1/NXT2/DDX19B/NUP133
GO:1901142	GO:1901142	insulin metabolic process	15	-0.177653086532315	-0.630669544175346	0.904191616766467	0.97067675919505	0.863363147131871	2967	tags=47%, list=19%, signal=38%	PCSK2/NLGN2/FOSL2/CELA2A/PCSK1/PAX6/SLC30A8
GO:0021542	GO:0021542	dentate gyrus development	16	0.195086301896163	0.629980912735319	0.901960784313726	0.97067675919505	0.863363147131871	2385	tags=19%, list=15%, signal=16%	SMO/POMT2/LARGE1
GO:0098719	GO:0098719	sodium ion import across plasma membrane	17	0.192705959964174	0.629817535719958	0.900914634146341	0.97067675919505	0.863363147131871	4272	tags=35%, list=28%, signal=26%	SLC5A2/SLC5A6/SLC5A1/SLC6A1/SLC9A5/TRPM4
GO:0006346	GO:0006346	DNA methylation-dependent heterochromatin formation	21	0.179777669289063	0.629465590023698	0.903703703703704	0.97067675919505	0.863363147131871	4832	tags=38%, list=31%, signal=26%	TET1/SETDB2/ATF7IP/MPHOSPH8/HDAC1/SAMD1/PPHLN1/SETDB1
GO:0002040	GO:0002040	sprouting angiogenesis	111	-0.128425074760136	-0.807708248083186	0.905555555555556	0.97148985544272	0.864086351152839	1436	tags=14%, list=9%, signal=13%	CDH13/VEGFB/BMPER/EPHA2/MMRN2/DLL1/ADTRP/TSPAN18/FBXW7/ROBO1/ANGPT1/YJEFN3/PTGS2/IL12A/SEMA5A/OTULIN
GO:0036363	GO:0036363	transforming growth factor beta activation	11	0.217325940572306	0.632297924868881	0.906009244992296	0.971790375998442	0.864353647521386	2660	tags=18%, list=17%, signal=15%	AGT/TNXB
GO:0021895	GO:0021895	cerebral cortex neuron differentiation	19	0.184026723425022	0.62354805709622	0.906344410876133	0.971963676785188	0.864507788960571	1014	tags=11%, list=7%, signal=10%	TOX/ARX
GO:0031623	GO:0031623	receptor internalization	101	0.150333776362766	0.73625429851525	0.906519065190652	0.971964811566921	0.864508798285991	1559	tags=12%, list=10%, signal=11%	SFRP4/EGF/DTNBP1/ACHE/CEACAM1/RAMP1/DNM3/ARRB2/PCSK9/GRIA1/ANKRD13B/EFNB2
GO:0048384	GO:0048384	retinoic acid receptor signaling pathway	25	0.169891264851835	0.623381346450461	0.906705539358601	0.971978616670267	0.864521077159837	2373	tags=16%, list=15%, signal=14%	PPARG/THRA/RXRB/PML
GO:2000671	GO:2000671	regulation of motor neuron apoptotic process	13	-0.179748975742993	-0.617515798977094	0.908045977011494	0.973229216172924	0.865633416063791	12627	tags=85%, list=82%, signal=15%	ROCK1/ZPR1/MAP2K4/MAP3K12/MAP2K7/BAX/CRLF1/RAPSN/KCNB1/CNTFR/BCL2
GO:0060736	GO:0060736	prostate gland growth	10	0.217927045614498	0.614616260953901	0.908517350157729	0.973548065747966	0.865917015078563	341	tags=10%, list=2%, signal=10%	ESR1
GO:0035196	GO:0035196	miRNA processing	40	0.161074924660924	0.65143676817746	0.908707865168539	0.973565889222857	0.865932868071054	7951	tags=65%, list=52%, signal=32%	TARBP2/METTL3/PRKRA/TRUB1/DGCR8/ZMPSTE24/DICER1/ZC3H10/AGO1/SRRT/SMAD1/MECP2/DROSHA/ZC3H7B/TP53/NUP155/SPOUT1/TGFB1/PUS10/DDX5/BCDIN3D/PUM1/RIPK1/AGO3/TUT4/NCBP2
GO:0032526	GO:0032526	response to retinoic acid	86	0.15004843078104	0.71497757351642	0.909090909090909	0.973603672532517	0.865966474229673	2956	tags=20%, list=19%, signal=16%	ABCA1/LRAT/BRINP1/SLC10A3/TNC/OSR1/TMEM161A/AQP3/DNAAF2/RXRB/WNT3/TEAD2/GDAP1/CTSH/GJB2/HTRA2/MMP2
GO:1903421	GO:1903421	regulation of synaptic vesicle recycling	22	0.178739169694156	0.630912721558803	0.908955223880597	0.973603672532517	0.865966474229673	6651	tags=55%, list=43%, signal=31%	DNM3/BTBD9/PRKN/TOR1A/SNX9/PLAA/VAMP4/ACTB/PPP3CC/ROCK1/OPHN1/AP2M1
GO:0048261	GO:0048261	negative regulation of receptor-mediated endocytosis	26	0.171205034098679	0.6355837005721	0.909489051094891	0.973657590263918	0.866014431061674	1410	tags=12%, list=9%, signal=10%	UNC119/PCSK9/ANKRD13B
GO:0001921	GO:0001921	positive regulation of receptor recycling	11	-0.196801848409687	-0.624796755973491	0.909348441926346	0.973657590263918	0.866014431061674	1246	tags=18%, list=8%, signal=17%	RAMP3/NSG1
GO:2000288	GO:2000288	positive regulation of myoblast proliferation	11	0.216271007841776	0.629228655850034	0.910631741140216	0.9746945361583	0.866936736929512	3082	tags=27%, list=20%, signal=22%	FGFBP1/FGF7/SIX1
GO:0006970	GO:0006970	response to osmotic stress	69	0.15452474546932	0.702331810820026	0.911458333333333	0.974969716029539	0.867181494164512	2940	tags=19%, list=19%, signal=15%	MAPK13/MLST8/CLN3/SLC12A6/PKD2/STK39/EFHD1/FBP1/TSC22D3/MTOR/WNK1/LRRC8E/BAD
GO:0048339	GO:0048339	paraxial mesoderm development	16	-0.176076492780018	-0.637377023165507	0.911504424778761	0.974969716029539	0.867181494164512	12684	tags=100%, list=82%, signal=18%	NUP133/WNT11/LEF1/EPB41L5/EXOC4/BMPR1A/WNT5A/SMAD3/POGLUT1/WNT3A/SMAD2/FOXC1/TCF15/FOXC2/DLL3
GO:0060795	GO:0060795	cell fate commitment involved in formation of primary germ layer	25	0.168436876060085	0.618044763406863	0.911078717201166	0.974969716029539	0.867181494164512	4178	tags=28%, list=27%, signal=20%	SFRP2/MESP1/TBX6/LEO1/PAF1/POU5F1/CDC73
